feature,group,source_a,source_b,jsd
pkt_len_min,timing,hikari2021,iot23_mcfp,0.0
pkt_len_max,timing,auto_capture_hf,cesnet_miner22,0.860443
pkt_len_max,timing,auto_capture_hf,cj_sniffer,0.927606
pkt_len_max,timing,auto_capture_hf,hikari2021,0.0
pkt_len_max,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_max,timing,cesnet_miner22,cj_sniffer,0.866561
pkt_len_max,timing,cesnet_miner22,hikari2021,0.96818
pkt_len_max,timing,cesnet_miner22,iot23_mcfp,0.96818
pkt_len_max,timing,cj_sniffer,hikari2021,0.0
pkt_len_max,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_max,timing,hikari2021,iot23_mcfp,0.0
pkt_len_p10,timing,auto_capture_hf,cesnet_miner22,0.953257
pkt_len_p10,timing,auto_capture_hf,cj_sniffer,0.506707
pkt_len_p10,timing,auto_capture_hf,hikari2021,0.0
pkt_len_p10,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_p10,timing,cesnet_miner22,cj_sniffer,0.95426
pkt_len_p10,timing,cesnet_miner22,hikari2021,0.93362
pkt_len_p10,timing,cesnet_miner22,iot23_mcfp,0.827915
pkt_len_p10,timing,cj_sniffer,hikari2021,0.0
pkt_len_p10,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_p10,timing,hikari2021,iot23_mcfp,0.0
pkt_len_p50,timing,auto_capture_hf,cesnet_miner22,0.964337
pkt_len_p50,timing,auto_capture_hf,cj_sniffer,0.822756
pkt_len_p50,timing,auto_capture_hf,hikari2021,0.0
pkt_len_p50,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_p50,timing,cesnet_miner22,cj_sniffer,0.883484
pkt_len_p50,timing,cesnet_miner22,hikari2021,0.954723
pkt_len_p50,timing,cesnet_miner22,iot23_mcfp,0.837722
pkt_len_p50,timing,cj_sniffer,hikari2021,0.0
pkt_len_p50,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_p50,timing,hikari2021,iot23_mcfp,0.0
pkt_len_p90,timing,auto_capture_hf,cesnet_miner22,0.892779
pkt_len_p90,timing,auto_capture_hf,cj_sniffer,0.909214
pkt_len_p90,timing,auto_capture_hf,hikari2021,0.0
pkt_len_p90,timing,auto_capture_hf,iot23_mcfp,0.0
pkt_len_p90,timing,cesnet_miner22,cj_sniffer,0.832917
pkt_len_p90,timing,cesnet_miner22,hikari2021,0.94755
pkt_len_p90,timing,cesnet_miner22,iot23_mcfp,0.94755
pkt_len_p90,timing,cj_sniffer,hikari2021,0.0
pkt_len_p90,timing,cj_sniffer,iot23_mcfp,0.0
pkt_len_p90,timing,hikari2021,iot23_mcfp,0.0
iat_mean,timing,auto_capture_hf,cesnet_miner22,0.867745
iat_mean,timing,auto_capture_hf,cj_sniffer,0.834476
iat_mean,timing,auto_capture_hf,hikari2021,0.0
iat_mean,timing,auto_capture_hf,iot23_mcfp,0.0
iat_mean,timing,cesnet_miner22,cj_sniffer,0.756017
iat_mean,timing,cesnet_miner22,hikari2021,0.932388
iat_mean,timing,cesnet_miner22,iot23_mcfp,0.727201
iat_mean,timing,cj_sniffer,hikari2021,0.0
iat_mean,timing,cj_sniffer,iot23_mcfp,0.0
iat_mean,timing,hikari2021,iot23_mcfp,0.0
iat_std,timing,auto_capture_hf,cesnet_miner22,0.863085
iat_std,timing,auto_capture_hf,cj_sniffer,0.826763
iat_std,timing,auto_capture_hf,hikari2021,0.0
iat_std,timing,auto_capture_hf,iot23_mcfp,0.0
iat_std,timing,cesnet_miner22,cj_sniffer,0.716864
